categoria;nome do exame;descricao;preparo;observação;tempo de retirada;valor;unidade
Ressonância magnética;Pelve;Trata-se de exame de ressonância da pelve.;24 horas antes do exame: - Iniciar dieta (não consumir: alimentos como leite e derivados, verduras cruas, bagaço de frutas, salada de folhas, frituras, feijões, grão-de-bico, milho, lentilha, ervilha, sementes e similares). - Tomar comprimido de Ducolax (laxante) - Tomar luftal de 8 em 8 horas. 4 horas antes do exame: - Tomar comprimido de Buscopan (Jejum absoluto de 12 horas em caso de paciente alérgico a Buscopan (Escopolamina)).;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RM MAMAS, ABDOME E PELVE. * Paciente diabético e em uso de CLORIDRATO DE METFORMINA ou qualquer medicação que contenha METFORMINA: necessário suspender a medicação 48 horas antes e 48 horas após o exame e somente sob a supervisão do médico assistente do cliente; Pacientes diabéticos e em uso de qualquer medicação hipoglicemiante (para controle de diabetes) injetável ou via oral: verificar junto ao médico assistente do paciente, a necessidade de suspensão ou ajuste da medicação para o período em jejum. * Poderá tomar todos os outros medicamentos que usa, com pouca água (1/2 copo de água). * Caso o paciente apresente alergia a qualquer tipo de medicamento, já deve ser informado no agendamento. * Em alguns casos, será necessária a introdução de contraste via retal e/ ou vaginal (qualquer restrição deve ser informada ao técnico). * Paciente portador de insuficiência renal deve trazer exames de sangue recentes; se realizar diálise, não pode fazer uso do contraste. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Pélvica: deve ser realizada preferencialmente fora do período menstrual, a menos que haja solicitação médica para avaliar a paciente nessa fase do ciclo, ou seja, um caso de urgência; Mulheres com sangramento não menstrual pode fazer este exame se o médico solicitante assim desejar; Necessário apresentar resultados anteriores, se houver.";5;300;1
Ressonância magnética;Prostata;Trata-se de exame de ressonância magnética da prostota.;Nenhuma preparo disponível, por favor consulte um atendente para mais informações.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RM MAMAS, ABDOME E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Pênis;Trata-se de exame de ressonância magnética do pênis.;Nenhuma preparo disponível, por favor consulte um atendente para mais informações.;Nenhuma observação disponível.;5;300;1
Ressonância magnética;Seios da Face;Trata-se de exame de ressonância magnética dos seios da face.;Não é necessário preparo para este exame.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Tórax;Trata-se de exame de ressonância magnética do tórax.;04 horas antes do exame: - Jejum absoluto.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente diabético e em uso de CLORIDRATO DE METFORMINA ou qualquer medicação que contenha METFORMINA: necessário suspender a medicação 48 horas antes e 48 horas após o exame e somente sob a supervisão do médico assistente do cliente; * Poderá tomar todos os outros medicamentos que usa, com pouca água (1/2 copo de água); * Paciente portador de insuficiência renal deve trazer exames de sangue recentes; se realizar diálise, não pode fazer uso do contraste; * Paciente lactante não deve amamentar durante 24 horas, após o exame; * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame.";5;300;1
Tomografia Computadorizada;Angiotomografia da pelve;Angiotomografia é um exame de diagnóstico rápido que permite a perfeita visualização das veias e artérias do corpo (região pelve).;Nenhuma preparo disponível, por favor consulte um atendente para mais informações.;Nenhuma observação disponível.;5;250;1
Tomografia Computadorizada;Clavicula;Trata-se de exame de tomografia computadorizada da clavícula.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Coccix;Trata-se de exame de tomografia computadorizada do coccix.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Coluna Dorsal;Trata-se de exame de tomografia computadorizada da coluna dorsal.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Coxa Direita;Trata-se de exame de tomografia computadorizada da coxa direita.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Coxa Esquerda;Trata-se de exame de tomografia computadorizada da coxa esquerda.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Coxofemoral;Trata-se de exame de tomografia computadorizada do coxofemoral bilateral.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Crânio;Trata-se de exame de tomografia computadorizada do crânio.;- Jejum de 4 horas.;"* Paciente diabético e em uso de CLORIDRATO DE METFORMINA ou qualquer medicação que contenha METFORMINA: necessário suspender a medicação 48 horas antes e 48 horas após o exame e somente sob a supervisão do médico assistente do cliente; Pacientes diabéticos e em uso de qualquer medicação hipoglicemiante (para controle de diabetes) injetável ou via oral: verificar junto ao médico assistente do paciente, a necessidade de suspensão ou ajuste da medicação para o período em jejum. * Poderá tomar todos os outros medicamentos que usa, com pouca água (1/2 copo de água). * Caso o paciente apresente alergia a qualquer tipo de medicamento, já deve ser informado no agendamento. * Em alguns casos, será necessária a introdução de contraste via retal e/ ou vaginal (qualquer restrição deve ser informada ao técnico). * Paciente portador de insuficiência renal deve trazer exames de sangue recentes; se realizar diálise, não pode fazer uso do contraste.";5;250;1
Tomografia Computadorizada;Face;Trata-se de exame de tomografia computadorizada da face.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Mandibula;Trata-se de exame de tomografia computadorizada da mandíbula.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Hipófise;Trata-se de exame de tomografia computadorizada da hipófise.;Nenhuma preparo disponível, por favor consulte um atendente para mais informações.;"* Chegar 30 minutos antes do horário marcado, para efetuar cadastro e preparo; * Paciente diabético e em uso de CLORIDRATO DE METFORMINA ou qualquer medicação que contenha METFORMINA em sua fórmula: necessário suspender a medicação 48 horas antes e 48 horas após o exame e somente sob a supervisão do médico assistente do cliente; Poderá tomar todos os outros medicamentos que usa, com pouca água (1/2 copo). * Caso o paciente apresente alergia a qualquer tipo de medicamento, já deve ser informado no agendamento e registrado em sistema, para que o técnico efetue as devidas providências, antes de iniciar o procedimento. * Paciente portador de insuficiência renal deve trazer exames de sangue recentes; se realizar diálise, não pode fazer uso do contraste. * Paciente lactante não deve amamentar durante 24 horas, após o exame.";5;250;1
Densitometria Ossea;Densitometria Ossea;A Densitometria Óssea é um exame capaz de identificar a osteoporose já em estágios iniciais antes mesmo de aparecer no raio x.;"Paciente que fez uso de contraste, só poderá realizar o exame 07 (sete) dias após a data de utilização. Paciente do sexo feminino em IDADE FÉRTIL e com SUSPEITA DE GRAVIDEZ ou ATRASO MENSTRUAL deve informar o técnico de exame; GESTANTE não pode realizar esse exame.";"Paciente que fez uso de contraste, só poderá realizar o exame 07 (sete) dias após a data de utilização. Paciente do sexo feminino em IDADE FÉRTIL e com SUSPEITA DE GRAVIDEZ ou ATRASO MENSTRUAL deve informar o técnico de exame; GESTANTE não pode realizar esse exame.";5;120;1
Ultrassom;Abdome Total;Trata-se de exame de ultrassom do abdome total, que inclui o fígado, vesícula biliar, pâncreas, rins, bexiga, baço, aorta e veia cava. ;JEJUM 12 HORAS (Período da manhã) JEJUM 06 HORAS (Período da tarde ou paciente diabético) JEJUM 04 HORAS (Crianças de 03 - 06 anos) JEJUM 01 HORA (Crianças até 02 anos) Beber 4 copos de água ao chegar na clínica.;Na VÉSPERA de JEJUM, EVITAR O CONSUMO de: leite e derivados, verduras cruas, bagaço de frutas, salada de folhas, frituras, feijões, grão-de-bico, milho, lentilha, ervilha, sementes e similares. Em qualquer um dos casos, o paciente pode tomar todos os outros medicamentos que usa. No dia do exame, levar todos os exames anteriores de ultrassom.;0;140;1
Ultrassom;Abdome Total com doppler;Trata-se de ultrassom de abdome total com doppler colorido.;JEJUM 12 HORAS (Período da manhã) JEJUM 06 HORAS (Período da tarde ou paciente diabético) JEJUM 04 HORAS (Crianças de 03 - 06 anos) JEJUM 01 HORA (Crianças até 02 anos) Beber 4 copos de água ao chegar na clínica.;JEJUM 12 HORAS (Período da manhã) JEJUM 06 HORAS (Período da tarde ou paciente diabético) JEJUM 04 HORAS (Crianças de 03 - 06 anos) JEJUM 01 HORA (Crianças até 02 anos) Beber 4 copos de água ao chegar na clínica.;0;140;1
Ultrassom;Carótidas;Trata-se de ultrassom das carótidas.;Não é necessário preparo para este exame.;No dia do exame, levar todos os exames anteriores de ultrassom.;0;140;1
Ultrassom;Nadegas;Trata-se de ultrassom das nádegas.;Não é necessário preparo para este exame.;No dia do exame, levar todos os exames anteriores de ultrassom.;0;140;1
Ultrassom;Pescoço;Trata-se de ultrassom do pescoço.;Não é necessário preparo para este exame.;No dia do exame, levar todos os exames anteriores de ultrassom.;0;140;1
Ultrassom;Tireoide;Trata-se de ultrassom da tireoide.;Não é necessário preparo para este exame.;No dia do exame, levar todos os exames anteriores de ultrassom.;0;140;1
Ultrassom;Venoso de Membro Inferior Direito;Trata-se de ultrassom de venoso do membro inferior direito.;Não é necessário preparo para este exame.;No dia do exame, levar todos os exames anteriores de ultrassom.;0;140;1
Ultrassom;Venoso de Membro Inferior Esquerdo;Trata-se de ultrassom de venoso do membro inferior esquerdo.;Não é necessário preparo para este exame.;No dia do exame, levar todos os exames anteriores de ultrassom.;0;140;1
Ultrassom;Gestacional de 5D;"Trata-se de ultrassom gestacional 5D; exame estetico e particular sem a necessidade de apresentar pedido medico.";Exame realizado no período de 26 a 32 semanas de gestação.;* 2 Acompanhantes (crianças menores de 5 anos não entra na sala). * No dia do exame, levar todos os exames anteriores de ultrassom. * Acompanha um pen drive com a gravação do exame.;0;140;1
Ultrassom;Morfologica de 1º Trimestre;Trata-se de ultrassom gestacional de primeiro trimestre. Serve para medir o acúmulo de líquido na nuca do feto. É possível analisar o risco de síndrome de Down e outras anomalias cromossômicas.;Pode levar no dia do exame: - 1 Pen Drive vazio de no mínimo 4gb (Gravação é cortesia da clinica) - 2 acompanhantes (crianças menores de 5 anos não entra);Realizado entre 12 a 14 semanas. No dia do exame, levar todos os exames anteriores de ultrassom. * Por ser um aparelho médico, não podemos garantir a qualidade do vídeo gravado durante o exame. Por isto, a gravação no pen drive é uma cortesia e não há possibilidade de ressarcimento ou repetição do exame, com exceção do US Gestacional 4D. *;0;140;1
Ultrassom;Morfologica de 2º Trimestre;Trata-se de ultrassom gestacional de segundo trimestre. Consiste em fazer uma avaliação das estruturas de cada segmento do feto (cabeça, pescoço, coluna vertebral, tórax, abdômen, genitália externa e extremidades) e do liquido amniótico, cordão umbilical e placenta, com auxílio do Doppler colorido.;Pode levar no dia do exame: - 1 Pen Drive vazio de no mínimo 4gb (Gravação é cortesia da clinica) - 2 acompanhantes (crianças menores de 5 anos não entra);Realizado entre 20 a 24 semanas. No dia do exame, levar todos os exames anteriores de ultrassom. * Por ser um aparelho médico, não podemos garantir a qualidade do vídeo gravado durante o exame. Por isto, a gravação no pen drive é uma cortesia e não há possibilidade de ressarcimento ou repetição do exame, com exceção do US Gestacional 4D. *;0;140;1
Raio-x;Escanometria;Trata-se de radiografias frontais panorâmicas dos membros inferiores, geralmente na incidências ântero-posterior, com medidas do comprimento de cada membro.;Não é necessário preparo para este exame.;"Paciente do sexo feminino em IDADE FÉRTIL e com SUSPEITA DE GRAVIDEZ ou ATRASO MENSTRUAL deve informar o técnico de exame; GESTANTE não pode realizar nenhum exame de RAIO-X.";5;70;1
